BOLSIG+ version: 03/2016
Collision input data:
--------------------------------------------------
N2                                                              
C:\Users\robertm\Desktop\LXCat-June2013.txt
How to reference in publications:
1) A.V. Phelps and L.C. Pitchford, Phys. Rev. A 31, 2932 (1985)
2) SIGLO database, http://www.lxcat.laplace.univ-tlse.fr, retrieved June 4, 2013
--------------------------------------------------
O2                                                              
C:\Users\robertm\Desktop\LXCat-June2013.txt
How to reference in publications:
1) Lawton and Phelps, J. Chem. Phys. 69, 1055(1978).
2) PHELPS database, http://www.lxcat.laplace.univ-tlse.fr, retrieved June 4, 2013
NOTE:3 body attachment cross section are normalized to gas density in units of cm-3.
 
 
 
Angular frequency / N (m3/s)               0.000    
Cosine of E-B field angle                  0.000    
Gas temperature (K)                        300.0    
Excitation temperature (K)                 300.0    
Transition energy (eV)                     0.000    
Ionization degree                          0.000    
Plasma density (1/m3)                     0.1000E+19
Ion charge parameter                       0.000    
Ion/neutral mass ratio                     1.000    
e-e momentum effects                       1.000    
Energy sharing                             1.000    
Growth model                               1.000    
Maxwellian mean energy (eV)                0.000    
# of grid points                           100.0    
Precision                                 0.1000E-09
Convergence                               0.1000E-04
Maximum # of iterations                    2000.    
Mole fraction N2                          0.8000    
Mole fraction O2                          0.2000    
 
 
E/N (Td)    	Electric field / N (Td)                                         
944.6	289.0
950.6	336.7
956.6	336.7
962.6	336.7
968.6	336.7
974.6	336.7
980.6	336.7
986.6	336.7
992.7	336.7
998.7	336.7
1005.	336.7
1011.	336.7
1017.	336.7
1023.	336.7
1029.	336.7
1035.	336.7
1041.	336.7
1047.	336.7
1053.	336.7
1059.	392.2
1065.	392.2
1071.	392.2
1077.	392.2
1083.	392.2
1089.	392.2
1095.	392.2
1101.	392.2
1107.	392.2
1113.	392.2
1119.	392.2
1125.	392.2
1131.	392.2
1137.	392.2
1143.	392.2
1149.	392.2
1155.	392.2
1161.	392.2
1167.	392.2
1173.	392.2
1179.	392.2
1185.	456.8
1191.	456.8
1197.	456.8
1203.	456.8
1209.	456.8
1215.	456.8
1221.	456.8
1227.	456.8
1233.	456.8
1239.	456.8
1245.	456.8
1251.	456.8
1257.	456.8
1263.	456.8
1269.	456.8
1275.	456.8
1281.	456.8
1287.	456.8
1293.	456.8
1299.	456.8
1305.	456.8
1311.	456.8
1317.	532.0
1323.	532.0
1329.	532.0
1335.	532.0
1341.	532.0
1347.	532.0
1353.	532.0
1359.	532.0
1365.	532.0
1371.	532.0
1377.	532.0
1383.	532.0
1389.	532.0
1395.	532.0
1401.	532.0
1407.	532.0
1413.	532.0
1419.	532.0
1425.	532.0
1431.	532.0
1437.	532.0
1443.	532.0
1449.	532.0
1455.	532.0
1461.	619.6
1467.	619.6
1473.	619.6
1479.	619.6
1485.	619.6
1491.	619.6
1497.	619.6
1504.	619.6
1510.	619.6
1516.	619.6
1522.	619.6
1528.	619.6
1534.	619.6
1540.	619.6
1546.	619.6
1552.	619.6
1558.	619.6
1564.	619.6
1570.	619.6
1576.	619.6
1582.	619.6
1588.	619.6
1594.	619.6
1600.	619.6
1606.	619.6
1612.	619.6
1618.	721.6
1624.	721.6
1630.	721.6
1636.	721.6
1642.	721.6
1648.	721.6
1654.	721.6
1660.	721.6
1666.	721.6
1672.	721.6
1678.	721.6
1684.	721.6
1690.	721.6
1696.	721.6
1702.	721.6
1708.	721.6
1714.	721.6
1720.	721.6
1726.	721.6
1732.	721.6
1738.	721.6
1744.	721.6
1750.	721.6
1756.	721.6
1762.	721.6
1768.	721.6
1774.	721.6
1780.	721.6
1786.	840.3
1792.	840.3
1798.	840.3
1804.	840.3
1810.	840.3
1816.	840.3
1822.	840.3
1828.	840.3
1834.	840.3
1840.	840.3
1846.	840.3
1852.	840.3
1858.	840.3
1864.	840.3
1870.	840.3
1876.	840.3
1882.	840.3
1888.	840.3
1894.	840.3
1900.	840.3
1906.	840.3
1912.	840.3
1918.	840.3
1924.	840.3
1930.	840.3
1936.	840.3
1942.	840.3
1948.	840.3
1954.	840.3
1960.	840.3
1966.	978.5
1972.	978.5
1978.	978.5
1984.	978.5
1990.	978.5
