# Transport data with three-body reactions for N2/O2 mixtures (80% N2, 20% O2)
# 
# Column 1:  Electric field (E/N)
# Column 2:  Electron temperature (eV)
# Column 3:  Electron mobility (mu*N) 
# Column 4:  Electron diffusion (D*N) 
# Column 5:  Rate for e + N2 ->[k1] e + N2+
# Column 6:  Rate for e + O2 ->[k2] e + O2+
# Column 7:  Rate for e + O2 ->[k3] O- + O
# Column 8:  Rate for e + O2 ->[k4] O2-(exc)
# Column 9:  Rate for O2-(exc) ->[k5] e + O2
# Column 10: Rate for O2-(exc) + O2 ->[k6] O2- + O2
# Column 11: Rate for e + N2 ->[k7] e + N2(1PN2)
# Column 12: Three-body rate k4*k6/k5
# 
# With the exception of k5, all rates are given in m^3/s, i.e. they must be multiplied by the concentration of the neutral on the left-hand side of the reaction.
# Note that k4 was reverse engineered from Kossyi et. al (eq. 45), and depends on the electron temperature.
# In this data the temperature was computed using 80% N2 and 20%O2
# 
1.490901549049464769e+01 1.004622336966626950e+00 1.783699483650178375e+24 1.889811168483313631e+24 0.000000000000000000e+00 0.000000000000000000e+00 4.670366991552504219e-25 6.892240214253061783e-18 1.000000000000000000e+10 1.000000000000000078e-15 1.260777915404070948e-25 6.892240214253062172e-43
1.500090330434519181e+01 1.005292166459608394e+00 1.780685250931761732e+24 1.890000000000000113e+24 0.000000000000000000e+00 0.000000000000000000e+00 5.288450853395246933e-25 6.888061239299143813e-18 1.000000000000000000e+10 1.000000000000000078e-15 1.451550427322586198e-25 6.888061239299144356e-43
1.509335744468051388e+01 1.005952553176289177e+00 1.777713510706697986e+24 1.890000000000000113e+24 0.000000000000000000e+00 0.000000000000000000e+00 6.021810302269357158e-25 6.883946110375430970e-18 1.000000000000000000e+10 1.000000000000000078e-15 1.683346164877572689e-25 6.883946110375431960e-43
1.518638140190564734e+01 1.006617010013611591e+00 1.774723454938747240e+24 1.890000000000000113e+24 0.000000000000000000e+00 0.000000000000000000e+00 6.759689620115864167e-25 6.879810554302129856e-18 1.000000000000000000e+10 1.000000000000000078e-15 1.916570514777729277e-25 6.879810554302130424e-43
1.527997868793780256e+01 1.007428343085047695e+00 1.771857751773205833e+24 1.890000000000000113e+24 0.000000000000000000e+00 0.000000000000000000e+00 7.635474144442023624e-25 6.874767545803181883e-18 1.000000000000000000e+10 1.000000000000000078e-15 2.200063393596663315e-25 6.874767545803182627e-43
1.537415283633899499e+01 1.008437351817917715e+00 1.769167061818885894e+24 1.890000000000000113e+24 0.000000000000000000e+00 0.000000000000000000e+00 8.696614995176890459e-25 6.868506098475459157e-18 1.000000000000000000e+10 1.000000000000000078e-15 2.551198432635396020e-25 6.868506098475459203e-43
1.546890740244941398e+01 1.009452579311957976e+00 1.766459788501445367e+24 1.890000000000000113e+24 0.000000000000000000e+00 0.000000000000000000e+00 9.764295909742508015e-25 6.862217505396028434e-18 1.000000000000000000e+10 1.000000000000000078e-15 2.904497600561387631e-25 6.862217505396028521e-43
1.556424596352165857e+01 1.010316042596583364e+00 1.763577808315375107e+24 1.890158021298291699e+24 0.000000000000000000e+00 0.000000000000000000e+00 1.104319477739779218e-24 6.856877991767806625e-18 1.000000000000000000e+10 1.000000000000000078e-15 3.339142905860581460e-25 6.856877991767807023e-43
1.566017211885579741e+01 1.011001229420398495e+00 1.760494467608206476e+24 1.890500614710199205e+24 0.000000000000000000e+00 0.000000000000000000e+00 1.256773546038677814e-24 6.852646791053081035e-18 1.000000000000000000e+10 1.000000000000000078e-15 3.868449727257881113e-25 6.852646791053081172e-43
1.575668948993521745e+01 1.011690639213822962e+00 1.757392123537796534e+24 1.890845319606911331e+24 0.000000000000000000e+00 0.000000000000000000e+00 1.410167225075612683e-24 6.848394754059705050e-18 1.000000000000000000e+10 1.000000000000000078e-15 4.401018792678250194e-25 6.848394754059705786e-43
