-----------
Timer report 0 (1569 timers)
--------------
[0] main 44.8864 100.0% 1 
   [1] DiffusionSolver::run 44.4793 99.1% 1 
      [2] DiffusionSolver::advance 44.0272 98.1% 150 
         [3] EBBackwardEuler::solveHelm 43.4839 96.9% 150 
                        [24] Multigrid::cycle 3.1378  7.0% 2265 
                           [49] Multigrid::cycle 1.8544  4.1% 2265 
                              [72] Multigrid::cycle 1.3275  3.0% 2265 
                                 [79] Multigrid::cycle 1.0323  2.3% 2265 
                                    [89] Multigrid::cycle 0.8169  1.8% 2265 
                                       [116] Multigrid::cycle 0.5482  1.2% 2265 
                                          [131] BiCGStabSolver::solve 0.4537  1.0% 2265 
                                             [167] BiCGStabSolver::solve::Initialize 0.2512  0.6% 2265 
                                                [270] LevelData<T>::define(dbl,comps,ghost,factory) 0.1160  0.3% 18120 
                                                [526] EBAMRPoissonOp::residual 0.0289  0.1% 2265 
                                                   [546] EBAMRPoissonOp::applyOp 0.0251  0.1% 2265 
                                                      [559] EBAMRPoissonOp::applyOpNoCFBCs 0.0232  0.1% 2265 
                                                         [713] dom_bcs_apply 0.0092  0.0% 2265 
                                                         [779] regular_apply 0.0067  0.0% 2265 
                                                         [903] irregular_apply 0.0029  0.0% 2265 
                                                         [932] alpha_apply 0.0026  0.0% 2265 
                                                         [1301] eb_bcs_apply 0.0001  0.0% 2265 
                                                      [1054] exchange+copier 0.0012  0.0% 2265 
                                                         [1134] exchange 0.0006  0.0% 2265 
                                                         [1225] Copier::define 0.0003  0.0% 150 
                                                      [1557] coarse-fine_bcs 0.0000  0.0% 0 
                                                   [1142] FORT_AXBYFAB 0.0006  0.0% 2265 
                                                [821] EBAMRPoissonOp::norm 0.0054  0.0% 2265 
                                                   [835] EBAMRPoissonOp::localMaxNorm 0.0049  0.0% 2265 
                                                      [1131] FORT_MAXNORMMASK 0.0006  0.0% 2265 
                                                      [1162] VoFIterator::define 0.0005  0.0% 2265 
                                                   [1390] mpi_allreduce 0.0000  0.0% 2265 
                                                [939] EBLevelDataOps::assign(to,from) 0.0025  0.0% 2265 
                                                   [1040] BaseEBCellFAB::copy 0.0014  0.0% 2265 
                                                      [1143] BaseEBCellFAB::regcopy 0.0006  0.0% 2265 
                                                [1050] ~LayoutData 0.0013  0.0% 18120 
                                                [1119] EBISLayoutImplem::~EBISLayoutImplem 0.0007  0.0% 18120 
                                             [210] BiCGStabSolver::solve::MainLoop 0.1743  0.4% 2265 
                                                [252] EBAMRPoissonOp::preCond 0.1249  0.3% 2265 
                                                   [291] EBAMRPoissonOp::relax 0.1051  0.2% 2265 
                                                      [293] EBAMRPoissonOp::levelGSRB 0.1044  0.2% 9060 
                                                         [350] EBAMRPoissonOp::levelGSRB::Compute 0.0816  0.2% 18120 
                                                         [594] EBAMRPoissonOp::levelGSRB::applyDomainFlux 0.0180  0.0% 9060 
                                                         [1114] exchange 0.0008  0.0% 9060 
                                                   [667] EBLevelDataOps::assign(to,from) 0.0126  0.0% 2265 
                                                      [793] Copier::define 0.0064  0.0% 2265 
                                                      [1022] copyTo 0.0015  0.0% 2265 
                                                         [1047] local copying 0.0013  0.0% 2265 
                                                      [1253] ~Copier 0.0003  0.0% 2265 
                                                   [1269] FORT_MULTIPLYFABR 0.0002  0.0% 2265 
                                                [564] EBAMRPoissonOp::applyOp 0.0220  0.0% 2265 
                                                   [605] EBAMRPoissonOp::applyOpNoCFBCs 0.0170  0.0% 2265 
                                                      [773] dom_bcs_apply 0.0068  0.0% 2265 
                                                      [820] regular_apply 0.0054  0.0% 2265 
                                                         [826] EBAMRPoissonOp::applyOpRegularAllDirs 0.0052  0.0% 2265 
                                                      [1001] alpha_apply 0.0017  0.0% 2265 
                                                         [1094] BaseEBCellFAB::copy 0.0009  0.0% 2265 
                                                         [1298] FORT_MULTIPLYFABR 0.0001  0.0% 2265 
                                                      [1004] irregular_apply 0.0017  0.0% 2265 
                                                         [1038] EBStencil::apply_alpha_beta 0.0014  0.0% 2265 
                                                      [1353] eb_bcs_apply 0.0001  0.0% 2265 
                                                   [850] exchange+copier 0.0045  0.0% 2265 
                                                      [886] Copier::define 0.0034  0.0% 2265 
                                                      [1263] exchange 0.0002  0.0% 2265 
                                                         [1321] local copying 0.0001  0.0% 2265 
                                                   [1559] coarse-fine_bcs 0.0000  0.0% 0 
                                                [623] EBLevelDataOps::kappaDotProduct 0.0151  0.0% 4530 
                                                [915] EBAMRPoissonOp::norm 0.0028  0.0% 2265 
                                                   [952] EBAMRPoissonOp::localMaxNorm 0.0025  0.0% 2265 
                                                      [1220] FORT_MAXNORMMASK 0.0003  0.0% 2265 
                                                      [1228] VoFIterator::define 0.0003  0.0% 2265 
                                                   [1383] mpi_allreduce 0.0000  0.0% 2265 
                                                [1034] EBLevelDataOps::assign(to,from) 0.0014  0.0% 2265 
                                                   [1095] BaseEBCellFAB::copy 0.0009  0.0% 2265 
                                                      [1204] BaseEBCellFAB::regcopy 0.0004  0.0% 2265 
                                                [1144] FORT_SCALEADDTWOFAB 0.0005  0.0% 4530 
                                             [690] ~LayoutData 0.0105  0.0% 18120 
                                             [1015] BiCGStabSolver::solve::Cleanup 0.0016  0.0% 2265 
                                                [1309] FORT_SCALEADDTWOFAB 0.0001  0.0% 2265 
                                             [1070] ~Copier 0.0011  0.0% 18120 
                                             [1276] ~BoxLayoutData 0.0002  0.0% 18120 
                                             [1278] ~LevelData 0.0002  0.0% 18120 
                                          [323] EBAMRPoissonOp::relax 0.0930  0.2% 2265 
                                             [327] EBAMRPoissonOp::levelGSRB 0.0927  0.2% 6795 
                                                [370] EBAMRPoissonOp::levelGSRB::Compute 0.0744  0.2% 13590 
                                                   [406] EBAMRPoissonOp::GSColorAllIrregular 0.0600  0.1% 27180 
                                                      [534] initFluxs 0.0280  0.1% 27180 
                                                      [716] applyColorStencil 0.0090  0.0% 27180 
                                                         [748] EBStencil::relax 0.0078  0.0% 27180 
                                                      [719] vofItDomLoBCS 0.0090  0.0% 54360 
                                                      [747] vofItDomHiBCS 0.0078  0.0% 54360 
                                                      [1027] initDataStructs 0.0015  0.0% 27180 
                                                   [1048] FORT_DOALLREGULARGSRB 0.0013  0.0% 13590 
                                                   [1115] exchange 0.0008  0.0% 6795 
                                                      [1218] local copying 0.0003  0.0% 6795 
                                                [643] EBAMRPoissonOp::levelGSRB::applyDomainFlux 0.0138  0.0% 6795 
                                                   [652] EBAMRPoissonOp::applyDomainFlux 0.0133  0.0% 6795 
                                                      [862] EBArith::loHi 0.0042  0.0% 13590 
                                                      [993] FORT_REGAPPLYDOMAINFLUX_INPLACE 0.0018  0.0% 27180 
                                                      [1101] NeumannPoissonDomainBC::getFaceFlux 0.0009  0.0% 27180 
                                                [1113] exchange 0.0008  0.0% 6795 
                                                   [1233] local copying 0.0003  0.0% 6795 
                                       [201] EBAMRPoissonOp::relax 0.1852  0.4% 4530 
                                          [204] EBAMRPoissonOp::levelGSRB 0.1843  0.4% 13590 
                                             [228] EBAMRPoissonOp::levelGSRB::Compute 0.1469  0.3% 27180 
                                                [272] EBAMRPoissonOp::GSColorAllIrregular 0.1147  0.3% 54360 
                                                   [446] initFluxs 0.0482  0.1% 54360 
                                                   [550] applyColorStencil 0.0247  0.1% 54360 
                                                      [566] EBStencil::relax 0.0219  0.0% 54360 
                                                         [612] relax_loop_overvofs 0.0160  0.0% 54360 
                                                         [907] relax_header 0.0029  0.0% 54360 
                                                   [608] vofItDomLoBCS 0.0163  0.0% 108720 
                                                   [642] vofItDomHiBCS 0.0139  0.0% 108720 
                                                   [928] initDataStructs 0.0027  0.0% 54360 
                                                [838] FORT_DOALLREGULARGSRB 0.0047  0.0% 27180 
                                                [1057] exchange 0.0012  0.0% 13590 
                                                   [1149] local copying 0.0005  0.0% 13590 
                                             [524] EBAMRPoissonOp::levelGSRB::applyDomainFlux 0.0293  0.1% 13590 
                                                [533] EBAMRPoissonOp::applyDomainFlux 0.0283  0.1% 13590 
                                                   [730] EBArith::loHi 0.0085  0.0% 27180 
                                                   [842] FORT_REGAPPLYDOMAINFLUX_INPLACE 0.0047  0.0% 54360 
                                                   [987] NeumannPoissonDomainBC::getFaceFlux 0.0019  0.0% 54360 
                                             [1078] exchange 0.0010  0.0% 13590 
                                                [1227] local copying 0.0003  0.0% 13590 
                                       [379] EBAMRPoissonOp::restrictResidual 0.0701  0.2% 2265 
                                          [529] EBAMRPoissonOp::residual 0.0287  0.1% 2265 
                                             [547] EBAMRPoissonOp::applyOp 0.0251  0.1% 2265 
                                                [560] EBAMRPoissonOp::applyOpNoCFBCs 0.0232  0.1% 2265 
                                                   [733] dom_bcs_apply 0.0082  0.0% 2265 
                                                   [771] regular_apply 0.0070  0.0% 2265 
