BOLSIG+ version: 03/2016
Collision input data:
--------------------------------------------------
N2                                                              
C:\Users\robertm\Desktop\LXCat-June2013.txt
How to reference in publications:
1) A.V. Phelps and L.C. Pitchford, Phys. Rev. A 31, 2932 (1985)
2) SIGLO database, http://www.lxcat.laplace.univ-tlse.fr, retrieved June 4, 2013
--------------------------------------------------
O2                                                              
C:\Users\robertm\Desktop\LXCat-June2013.txt
How to reference in publications:
1) Lawton and Phelps, J. Chem. Phys. 69, 1055(1978).
2) PHELPS database, http://www.lxcat.laplace.univ-tlse.fr, retrieved June 4, 2013
NOTE:3 body attachment cross section are normalized to gas density in units of cm-3.
 
 
 
Angular frequency / N (m3/s)               0.000    
Cosine of E-B field angle                  0.000    
Gas temperature (K)                        300.0    
Excitation temperature (K)                 300.0    
Transition energy (eV)                     0.000    
Ionization degree                          0.000    
Plasma density (1/m3)                     0.1000E+19
Ion charge parameter                       0.000    
Ion/neutral mass ratio                     1.000    
e-e momentum effects                       1.000    
Energy sharing                             1.000    
Growth model                               1.000    
Maxwellian mean energy (eV)                0.000    
# of grid points                           100.0    
Grid type                                  0.000    
Precision                                 0.1000E-09
Convergence                               0.1000E-04
Maximum # of iterations                    2000.    
Mole fraction N2                          0.8000    
Mole fraction O2                          0.2000    
 
 
Energy (eV) 	Electric field / N (Td)                                         
7.490	0.9027E+24
7.608	0.8976E+24
7.727	0.8925E+24
7.845	0.8875E+24
7.964	0.8816E+24
8.082	0.8769E+24
8.201	0.8722E+24
8.319	0.8676E+24
8.438	0.8628E+24
8.556	0.8582E+24
8.675	0.8537E+24
8.793	0.8494E+24
8.912	0.8453E+24
9.030	0.8409E+24
9.149	0.8367E+24
9.267	0.8324E+24
9.386	0.8277E+24
9.504	0.8233E+24
9.622	0.8192E+24
9.741	0.8153E+24
9.859	0.8114E+24
9.978	0.8074E+24
10.10	0.8042E+24
10.21	0.8006E+24
10.33	0.7969E+24
10.45	0.7931E+24
10.57	0.7897E+24
10.69	0.7863E+24
10.81	0.7829E+24
10.93	0.7796E+24
11.04	0.7761E+24
11.16	0.7726E+24
11.28	0.7690E+24
11.40	0.7657E+24
11.52	0.7625E+24
11.64	0.7593E+24
11.76	0.7561E+24
11.87	0.7531E+24
11.99	0.7502E+24
12.11	0.7473E+24
12.23	0.7444E+24
12.35	0.7414E+24
12.47	0.7384E+24
12.58	0.7356E+24
12.70	0.7328E+24
12.82	0.7302E+24
12.94	0.7275E+24
13.06	0.7248E+24
13.18	0.7222E+24
13.30	0.7195E+24
13.41	0.7168E+24
13.53	0.7142E+24
13.65	0.7116E+24
13.77	0.7092E+24
13.89	0.7067E+24
14.01	0.7043E+24
14.12	0.7019E+24
14.24	0.6995E+24
14.36	0.6972E+24
14.48	0.6948E+24
14.60	0.6926E+24
14.72	0.6903E+24
14.84	0.6879E+24
14.95	0.6856E+24
15.07	0.6835E+24
15.19	0.6814E+24
15.31	0.6793E+24
15.43	0.6771E+24
15.55	0.6751E+24
15.66	0.6731E+24
15.78	0.6710E+24
15.90	0.6690E+24
16.02	0.6669E+24
16.14	0.6649E+24
16.26	0.6630E+24
16.38	0.6610E+24
16.49	0.6592E+24
16.61	0.6573E+24
16.73	0.6553E+24
16.85	0.6538E+24
16.97	0.6520E+24
17.09	0.6502E+24
17.20	0.6484E+24
17.32	0.6467E+24
17.44	0.6449E+24
17.56	0.6432E+24
17.68	0.6415E+24
17.80	0.6398E+24
17.92	0.6381E+24
18.03	0.6363E+24
18.15	0.6346E+24
18.27	0.6329E+24
18.39	0.6312E+24
18.51	0.6296E+24
18.63	0.6281E+24
18.74	0.6266E+24
18.86	0.6250E+24
18.98	0.6235E+24
19.10	0.6221E+24
19.22	0.6206E+24
19.34	0.6191E+24
19.46	0.6176E+24
19.57	0.6160E+24
19.69	0.6145E+24
19.81	0.6130E+24
19.93	0.6115E+24
20.05	0.6100E+24
20.17	0.6086E+24
20.29	0.6073E+24
20.40	0.6060E+24
20.52	0.6047E+24
20.64	0.6033E+24
20.76	0.6020E+24
20.88	0.6006E+24
21.00	0.5992E+24
21.11	0.5978E+24
21.23	0.5965E+24
21.35	0.5952E+24
21.47	0.5939E+24
21.59	0.5928E+24
21.71	0.5916E+24
21.83	0.5904E+24
21.94	0.5891E+24
22.06	0.5879E+24
22.18	0.5866E+24
22.30	0.5854E+24
22.42	0.5842E+24
22.54	0.5830E+24
22.65	0.5818E+24
22.77	0.5807E+24
22.89	0.5795E+24
23.01	0.5783E+24
23.13	0.5772E+24
23.25	0.5760E+24
23.37	0.5748E+24
23.48	0.5737E+24
23.60	0.5726E+24
23.72	0.5716E+24
23.84	0.5705E+24
23.96	0.5695E+24
24.08	0.5684E+24
24.19	0.5674E+24
24.31	0.5663E+24
24.43	0.5653E+24
24.55	0.5642E+24
24.67	0.5632E+24
24.79	0.5622E+24
24.91	0.5612E+24
25.02	0.5602E+24
25.14	0.5593E+24
25.26	0.5582E+24
25.38	0.5572E+24
25.50	0.5562E+24
25.62	0.5552E+24
25.74	0.5542E+24
25.85	0.5532E+24
25.97	0.5523E+24
26.09	0.5513E+24
26.21	0.5504E+24
26.33	0.5495E+24
26.45	0.5486E+24
26.56	0.5477E+24
26.68	0.5468E+24
26.80	0.5459E+24
26.92	0.5450E+24
27.04	0.5441E+24
27.16	0.5433E+24
27.28	0.5424E+24
27.39	0.5416E+24
27.51	0.5407E+24
27.63	0.5399E+24
27.75	0.5390E+24
27.87	0.5382E+24
27.99	0.5374E+24
28.10	0.5366E+24
28.22	0.5357E+24
28.34	0.5349E+24
28.46	0.5340E+24
28.58	0.5332E+24
28.70	0.5324E+24
28.82	0.5315E+24
28.93	0.5307E+24
29.05	0.5299E+24
29.17	0.5292E+24
29.29	0.5285E+24
29.41	0.5277E+24
29.53	0.5270E+24
29.64	0.5262E+24
29.76	0.5254E+24
29.88	0.5246E+24
30.00	0.5239E+24
 
 
Energy (eV)	Diffusion coefficient *N (1/m/s)
0.5000	0.1548E+25
0.6185	0.1652E+25
0.7369	0.1745E+25
0.8554	0.1825E+25
0.9739	0.1881E+25
1.092	0.1871E+25
1.211	0.1880E+25
1.329	0.1922E+25
1.448	0.1969E+25
1.566	0.2020E+25
1.685	0.2078E+25
1.803	0.2135E+25
1.922	0.2195E+25
2.040	0.2257E+25
2.159	0.2316E+25
2.277	0.2377E+25
2.396	0.2439E+25
2.514	0.2502E+25
2.633	0.2564E+25
2.751	0.2625E+25
2.869	0.2687E+25
2.988	0.2752E+25
3.106	0.2816E+25
3.225	0.2880E+25
3.343	0.2942E+25
3.462	0.3004E+25
3.580	0.3066E+25
3.699	0.3128E+25
3.817	0.3191E+25
3.936	0.3253E+25
4.054	0.3316E+25
4.173	0.3376E+25
4.291	0.3434E+25
4.410	0.3494E+25
4.528	0.3553E+25
4.647	0.3617E+25
4.765	0.3677E+25
4.884	0.3736E+25
5.002	0.3792E+25
5.121	0.3848E+25
5.239	0.3903E+25
5.357	0.3958E+25
5.476	0.4014E+25
5.594	0.4070E+25
5.713	0.4125E+25
5.831	0.4183E+25
5.950	0.4236E+25
6.068	0.4287E+25
6.187	0.4337E+25
6.305	0.4385E+25
6.424	0.4431E+25
6.542	0.4482E+25
6.661	0.4534E+25
6.779	0.4585E+25
6.898	0.4634E+25
7.016	0.4683E+25
7.134	0.4726E+25
7.253	0.4771E+25
7.371	0.4816E+25
7.490	0.4862E+25
7.608	0.4908E+25
7.727	0.4954E+25
7.845	0.4999E+25
7.964	0.5041E+25
8.082	0.5085E+25
8.201	0.5128E+25
8.319	0.5170E+25
8.438	0.5212E+25
8.556	0.5255E+25
8.675	0.5297E+25
8.793	0.5340E+25
8.912	0.5380E+25
9.030	0.5421E+25
9.149	0.5462E+25
9.267	0.5501E+25
9.386	0.5538E+25
9.504	0.5576E+25
9.622	0.5615E+25
9.741	0.5655E+25
9.859	0.5693E+25
9.978	0.5731E+25
10.10	0.5772E+25
10.21	0.5811E+25
10.33	0.5849E+25
10.45	0.5886E+25
10.57	0.5924E+25
10.69	0.5962E+25
10.81	0.6000E+25
10.93	0.6037E+25
11.04	0.6072E+25
11.16	0.6107E+25
11.28	0.6140E+25
11.40	0.6175E+25
11.52	0.6210E+25
11.64	0.6245E+25
11.76	0.6280E+25
11.87	0.6316E+25
11.99	0.6352E+25
12.11	0.6388E+25
12.23	0.6423E+25
12.35	0.6457E+25
12.47	0.6490E+25
12.58	0.6524E+25
12.70	0.6558E+25
12.82	0.6593E+25
12.94	0.6627E+25
13.06	0.6661E+25
13.18	0.6694E+25
13.30	0.6726E+25
13.41	0.6759E+25
13.53	0.6792E+25
13.65	0.6824E+25
13.77	0.6857E+25
13.89	0.6890E+25
14.01	0.6922E+25
14.12	0.6954E+25
14.24	0.6987E+25
14.36	0.7019E+25
14.48	0.7051E+25
14.60	0.7084E+25
14.72	0.7113E+25
14.84	0.7144E+25
14.95	0.7175E+25
15.07	0.7207E+25
15.19	0.7239E+25
15.31	0.7272E+25
